Year;Month;Pr;
1961;1;21,9;
1961;2;19,7;
1961;3;8,4;
1961;4;22,3;
1961;5;38,3;
1961;6;21,9;
1961;7;76,7;
1961;8;121,6;
1961;9;56,4;
1961;10;14,2;
1961;11;32;
1961;12;23,9;
1962;1;27,2;
1962;2;21,5;
1962;3;8,2;
1962;4;27,1;
1962;5;29,3;
1962;6;90,2;
1962;7;90,5;
1962;8;54,6;
1962;9;44,7;
1962;10;29,3;
1962;11;34,3;
1962;12;37,4;
1963;1;16,3;
1963;2;19;
1963;3;15,3;
1963;4;13,5;
1963;5;34,8;
1963;6;64,7;
1963;7;43,4;
1963;8;40,9;
1963;9;89,6;
1963;10;21,1;
1963;11;36,3;
1963;12;41,7;
1964;1;26,8;
1964;2;3,4;
1964;3;8,3;
1964;4;3,2;
1964;5;11,1;
1964;6;77,5;
1964;7;52;
1964;8;19,9;
1964;9;36,2;
1964;10;16;
1964;11;32;
1964;12;25;
1965;1;12,4;
1965;2;9,2;
1965;3;18,1;
1965;4;8,8;
1965;5;53,8;
1965;6;69,8;
1965;7;94;
1965;8;71,7;
1965;9;42,5;
1965;10;29,9;
1965;11;33,4;
1965;12;27,1;
1966;1;24,8;
1966;2;20,3;
1966;3;10,9;
1966;4;27,7;
1966;5;46,3;
1966;6;97,8;
1966;7;80;
1966;8;43,4;
1966;9;64,6;
1966;10;73,2;
1966;11;63,5;
1966;12;27;
1967;1;22,5;
1967;2;13,5;
1967;3;24,65;
1967;4;9,8;
1967;5;46,5;
1967;6;23,2;
1967;7;34,9;
1967;8;12,7;
1967;9;38,15;
1967;10;46,45;
1967;11;18,1;
1967;12;24,5;
1968;1;23,3;
1968;2;22;
1968;3;25;
1968;4;29,45;
1968;5;54,3;
1968;6;63,4;
1968;7;49,4;
1968;8;59,73333333;
1968;9;41,36666667;
1968;10;31,85;
1968;11;32;
1968;12;18,3;
1969;1;25,5;
1969;2;10,65;
1969;3;21,5;
1969;4;24,8;
1969;5;54,1;
1969;6;65,4;
1969;7;41,5;
1969;8;102,5;
