Станция;Год;Месяц;День;Высота_снежного_покрова;Снежный_покров_.степень_покрытия;Q1;Q2;Q3
23776;1961;1;1;77;10;0;0;0
23776;1961;1;2;77;10;0;0;0
23776;1961;1;3;76;10;0;0;0
23776;1961;1;4;76;10;0;0;0
23776;1961;1;5;72;10;0;0;0
23776;1961;1;6;72;10;0;0;0
23776;1961;1;7;72;10;0;0;0
23776;1961;1;8;72;10;0;0;0
23776;1961;1;9;74;10;0;0;0
23776;1961;1;10;78;10;0;0;0
23776;1961;1;11;79;10;0;0;0
23776;1961;1;12;79;10;0;0;0
23776;1961;1;13;79;10;0;0;0
23776;1961;1;14;80;10;0;0;0
23776;1961;1;15;80;10;0;0;0
23776;1961;1;16;81;10;0;0;0
23776;1961;1;17;85;10;0;0;0
23776;1961;1;18;84;10;0;0;0
23776;1961;1;19;84;10;0;0;0
23776;1961;1;20;83;10;0;0;0
23776;1961;1;21;88;10;0;0;0
23776;1961;1;22;89;10;0;0;0
23776;1961;1;23;87;10;0;0;0
23776;1961;1;24;87;10;0;0;0
23776;1961;1;25;86;10;0;0;0
23776;1961;1;26;88;10;0;0;0
23776;1961;1;27;88;10;0;0;0
23776;1961;1;28;86;10;0;0;0
23776;1961;1;29;86;10;0;0;0
23776;1961;1;30;86;10;0;0;0
23776;1961;1;31;86;10;0;0;0
23776;1961;2;1;85;10;0;0;0
23776;1961;2;2;88;10;0;0;0
23776;1961;2;3;92;10;0;0;0
23776;1961;2;4;95;10;0;0;0
23776;1961;2;5;95;10;0;0;0
23776;1961;2;6;97;10;0;0;0
23776;1961;2;7;97;10;0;0;0
23776;1961;2;8;95;10;0;0;0
23776;1961;2;9;95;10;0;0;0
23776;1961;2;10;96;10;0;0;0
23776;1961;2;11;96;10;0;0;0
23776;1961;2;12;97;10;0;0;0
23776;1961;2;13;97;10;0;0;0
23776;1961;2;14;95;10;0;0;0
23776;1961;2;15;97;10;0;0;0
23776;1961;2;16;96;10;0;0;0
23776;1961;2;17;97;10;0;0;0
23776;1961;2;18;97;10;0;0;0
23776;1961;2;19;98;10;0;0;0
23776;1961;2;20;99;10;0;0;0
23776;1961;2;21;99;10;0;0;0
23776;1961;2;22;99;10;0;0;0
23776;1961;2;23;99;10;0;0;0
23776;1961;2;24;99;10;0;0;0
23776;1961;2;25;98;10;0;0;0
23776;1961;2;26;98;10;0;0;0
23776;1961;2;27;98;10;0;0;0
23776;1961;2;28;98;10;0;0;0
23776;1961;3;1;97;10;0;0;0
23776;1961;3;2;98;10;0;0;0
23776;1961;3;3;98;10;0;0;0
23776;1961;3;4;98;10;0;0;0
23776;1961;3;5;100;10;0;0;0
23776;1961;3;6;103;10;0;0;0
23776;1961;3;7;103;10;0;0;0
23776;1961;3;8;103;10;0;0;0
23776;1961;3;9;100;10;0;0;0
23776;1961;3;10;100;10;0;0;0
23776;1961;3;11;100;10;0;0;0
23776;1961;3;12;98;10;0;0;0
23776;1961;3;13;98;10;0;0;0
23776;1961;3;14;98;10;0;0;0
23776;1961;3;15;97;10;0;0;0
23776;1961;3;16;96;10;0;0;0
23776;1961;3;17;95;10;0;0;0
23776;1961;3;18;94;10;0;0;0
23776;1961;3;19;94;10;0;0;0
23776;1961;3;20;93;10;0;0;0
23776;1961;3;21;92;10;0;0;0
23776;1961;3;22;92;10;0;0;0
23776;1961;3;23;94;10;0;0;0
23776;1961;3;24;96;10;0;0;0
23776;1961;3;25;92;10;0;0;0
23776;1961;3;26;89;10;0;0;0
23776;1961;3;27;87;10;0;0;0
23776;1961;3;28;85;10;0;0;0
23776;1961;3;29;84;10;0;0;0
23776;1961;3;30;82;10;0;0;0
23776;1961;3;31;81;10;0;0;0
23776;1961;4;1;79;10;0;0;0
23776;1961;4;2;78;10;0;0;0
23776;1961;4;3;77;10;0;0;0
23776;1961;4;4;77;10;0;0;0
23776;1961;4;5;74;10;0;0;0
23776;1961;4;6;72;10;0;0;0
23776;1961;4;7;72;10;0;0;0
23776;1961;4;8;70;10;0;0;0
23776;1961;4;9;68;10;0;0;0
23776;1961;4;10;67;10;0;0;0
23776;1961;4;11;67;10;0;0;0
23776;1961;4;12;66;10;0;0;0
23776;1961;4;13;66;10;0;0;0
23776;1961;4;14;66;10;0;0;0
23776;1961;4;15;65;10;0;0;0
23776;1961;4;16;73;10;0;0;0
23776;1961;4;17;70;10;0;0;0
23776;1961;4;18;71;10;0;0;0
23776;1961;4;19;71;10;0;0;0
23776;1961;4;20;76;10;0;0;0
23776;1961;4;21;70;10;0;0;0
23776;1961;4;22;67;10;0;0;0
23776;1961;4;23;65;10;0;0;0
23776;1961;4;24;63;10;0;0;0
23776;1961;4;25;63;10;0;0;0
23776;1961;4;26;61;10;0;0;0
23776;1961;4;27;61;10;0;0;0
23776;1961;4;28;61;10;0;0;0
23776;1961;4;29;64;10;0;0;0
23776;1961;4;30;62;10;0;0;0
23776;1961;5;1;61;10;0;0;0
23776;1961;5;2;52;10;0;0;0
23776;1961;5;3;52;10;0;0;0
23776;1961;5;4;52;10;0;0;0
23776;1961;5;5;49;10;0;0;0
23776;1961;5;6;46;10;0;0;0
23776;1961;5;7;46;10;0;0;0
23776;1961;5;8;46;9;0;0;0
23776;1961;5;9;44;9;0;0;0
23776;1961;5;10;44;9;0;0;0
23776;1961;5;11;42;9;0;0;0
23776;1961;5;12;42;8;0;0;0
23776;1961;5;13;39;8;0;0;0
23776;1961;5;14;34;8;0;0;0
23776;1961;5;15;28;8;0;0;0
23776;1961;5;16;17;6;0;0;1
23776;1961;5;17;12;6;0;0;0
23776;1961;5;18;10;5;0;0;1
23776;1961;5;19;4;4;0;0;1
23776;1961;5;20;0;1;3;0;0
23776;1961;5;21;0;0;1;0;0
23776;1961;5;22;0;0;1;0;0
23776;1961;5;23;0;0;1;0;0
23776;1961;5;24;0;0;1;0;0
23776;1961;5;25;0;0;1;0;0
23776;1961;5;26;0;0;1;0;0
23776;1961;5;27;0;0;1;0;0
23776;1961;5;28;0;0;1;0;0
23776;1961;5;29;0;0;1;0;0
23776;1961;5;30;0;0;1;0;0
23776;1961;5;31;0;0;1;0;0
23776;1961;6;1;0;0;1;0;0
23776;1961;6;2;0;0;1;0;0
23776;1961;6;3;0;0;1;0;0
23776;1961;6;4;0;0;1;0;0
23776;1961;6;5;0;0;1;0;0
23776;1961;6;6;0;0;1;0;0
23776;1961;6;7;0;0;1;0;0
23776;1961;6;8;0;0;1;0;0
23776;1961;6;9;0;0;1;0;0
23776;1961;6;10;0;0;1;0;0
23776;1961;6;11;0;0;1;0;0
23776;1961;6;12;0;0;1;0;0
23776;1961;6;13;0;0;1;0;0
23776;1961;6;14;0;0;1;0;0
23776;1961;6;15;0;0;1;0;0
23776;1961;6;16;0;0;1;0;0
23776;1961;6;17;0;0;1;0;0
23776;1961;6;18;0;0;1;0;0
23776;1961;6;19;0;0;1;0;0
23776;1961;6;20;0;0;1;0;0
23776;1961;6;21;0;0;1;0;0
23776;1961;6;22;0;0;1;0;0
23776;1961;6;23;0;0;1;0;0
23776;1961;6;24;0;0;1;0;0
23776;1961;6;25;0;0;1;0;0
23776;1961;6;26;0;0;1;0;0
23776;1961;6;27;0;0;1;0;0
23776;1961;6;28;0;0;1;0;0
23776;1961;6;29;0;0;1;0;0
23776;1961;6;30;0;0;1;0;0
23776;1961;7;1;0;0;1;0;0
23776;1961;7;2;0;0;1;0;0
23776;1961;7;3;0;0;1;0;0
23776;1961;7;4;0;0;1;0;0
23776;1961;7;5;0;0;1;0;0
23776;1961;7;6;0;0;1;0;0
23776;1961;7;7;0;0;1;0;0
23776;1961;7;8;0;0;1;0;0
23776;1961;7;9;0;0;1;0;0
23776;1961;7;10;0;0;1;0;0
23776;1961;7;11;0;0;1;0;0
23776;1961;7;12;0;0;1;0;0
23776;1961;7;13;0;0;1;0;0
23776;1961;7;14;0;0;1;0;0
23776;1961;7;15;0;0;1;0;0
23776;1961;7;16;0;0;1;0;0
23776;1961;7;17;0;0;1;0;0
23776;1961;7;18;0;0;1;0;0
23776;1961;7;19;0;0;1;0;0
23776;1961;7;20;0;0;1;0;0
23776;1961;7;21;0;0;1;0;0
23776;1961;7;22;0;0;1;0;0
23776;1961;7;23;0;0;1;0;0
23776;1961;7;24;0;0;1;0;0
23776;1961;7;25;0;0;1;0;0
23776;1961;7;26;0;0;1;0;0
23776;1961;7;27;0;0;1;0;0
23776;1961;7;28;0;0;1;0;0
23776;1961;7;29;0;0;1;0;0
23776;1961;7;30;0;0;1;0;0
23776;1961;7;31;0;0;1;0;0
23776;1961;8;1;0;0;1;0;0
23776;1961;8;2;0;0;1;0;0
23776;1961;8;3;0;0;1;0;0
23776;1961;8;4;0;0;1;0;0
23776;1961;8;5;0;0;1;0;0
23776;1961;8;6;0;0;1;0;0
23776;1961;8;7;0;0;1;0;0
23776;1961;8;8;0;0;1;0;0
23776;1961;8;9;0;0;1;0;0
23776;1961;8;10;0;0;1;0;0
23776;1961;8;11;0;0;1;0;0
23776;1961;8;12;0;0;1;0;0
23776;1961;8;13;0;0;1;0;0
23776;1961;8;14;0;0;1;0;0
23776;1961;8;15;0;0;1;0;0
23776;1961;8;16;0;0;1;0;0
23776;1961;8;17;0;0;1;0;0
23776;1961;8;18;0;0;1;0;0
23776;1961;8;19;0;0;1;0;0
23776;1961;8;20;0;0;1;0;0
23776;1961;8;21;0;0;1;0;0
23776;1961;8;22;0;0;1;0;0
23776;1961;8;23;0;0;1;0;0
23776;1961;8;24;0;0;1;0;0
23776;1961;8;25;0;0;1;0;0
23776;1961;8;26;0;0;1;0;0
23776;1961;8;27;0;0;1;0;0
23776;1961;8;28;0;0;1;0;0
23776;1961;8;29;0;0;1;0;0
23776;1961;8;30;0;0;1;0;0
23776;1961;8;31;0;0;1;0;0
23776;1961;9;1;0;0;1;0;0
23776;1961;9;2;0;0;1;0;0
23776;1961;9;3;0;0;1;0;0
23776;1961;9;4;0;0;1;0;0
23776;1961;9;5;0;0;1;0;0
23776;1961;9;6;0;0;1;0;0
23776;1961;9;7;0;0;1;0;0
23776;1961;9;8;0;0;1;0;0
23776;1961;9;9;0;0;1;0;0
23776;1961;9;10;0;0;1;0;0
23776;1961;9;11;0;0;1;0;0
23776;1961;9;12;0;0;1;0;0
23776;1961;9;13;0;0;1;0;0
23776;1961;9;14;0;0;1;0;0
23776;1961;9;15;0;0;1;0;0
23776;1961;9;16;0;0;1;0;0
23776;1961;9;17;0;0;1;0;0
23776;1961;9;18;0;0;1;0;0
23776;1961;9;19;0;0;1;0;0
23776;1961;9;20;0;0;1;0;0
23776;1961;9;21;0;0;1;0;0
23776;1961;9;22;0;0;1;0;0
23776;1961;9;23;0;0;1;0;0
23776;1961;9;24;0;0;1;0;0
23776;1961;9;25;0;0;1;0;0
23776;1961;9;26;0;0;1;0;0
23776;1961;9;27;0;0;1;0;0
23776;1961;9;28;0;0;1;0;0
23776;1961;9;29;0;0;1;0;0
23776;1961;9;30;0;0;1;0;0
23776;1961;10;1;0;0;1;0;0
23776;1961;10;2;0;0;1;0;0
23776;1961;10;3;0;0;1;0;0
23776;1961;10;4;3;10;0;0;0
23776;1961;10;5;4;10;0;0;0
23776;1961;10;6;6;10;0;0;0
23776;1961;10;7;6;10;0;0;0
23776;1961;10;8;6;10;0;0;0
23776;1961;10;9;6;10;0;0;0
23776;1961;10;10;7;10;0;0;0
23776;1961;10;11;7;10;0;0;0
23776;1961;10;12;10;10;0;0;0
23776;1961;10;13;12;10;0;0;0
23776;1961;10;14;12;10;0;0;0
23776;1961;10;15;12;10;0;0;0
23776;1961;10;16;12;10;0;0;0
23776;1961;10;17;12;10;0;0;0
23776;1961;10;18;12;10;0;0;0
23776;1961;10;19;12;10;0;0;0
23776;1961;10;20;12;10;0;0;0
23776;1961;10;21;12;10;0;0;0
23776;1961;10;22;12;10;0;0;0
23776;1961;10;23;12;10;0;0;0
23776;1961;10;24;13;10;0;0;0
23776;1961;10;25;15;10;0;0;0
23776;1961;10;26;21;10;0;0;0
23776;1961;10;27;21;10;0;0;0
23776;1961;10;28;21;10;0;0;0
23776;1961;10;29;19;10;0;0;0
23776;1961;10;30;17;10;0;0;0
23776;1961;10;31;16;10;0;0;0
23776;1961;11;1;18;10;0;0;0
23776;1961;11;2;22;10;0;0;0
23776;1961;11;3;24;10;0;0;0
23776;1961;11;4;26;10;0;0;0
23776;1961;11;5;26;10;0;0;0
23776;1961;11;6;26;10;0;0;0
23776;1961;11;7;26;10;0;0;0
23776;1961;11;8;26;10;0;0;0
23776;1961;11;9;27;10;0;0;0
23776;1961;11;10;30;10;0;0;0
23776;1961;11;11;30;10;0;0;0
23776;1961;11;12;30;10;0;0;0
23776;1961;11;13;30;10;0;0;0
23776;1961;11;14;30;10;0;0;0
23776;1961;11;15;29;10;0;0;0
23776;1961;11;16;29;10;0;0;0
23776;1961;11;17;29;10;0;0;0
23776;1961;11;18;29;10;0;0;0
23776;1961;11;19;29;10;0;0;0
23776;1961;11;20;32;10;0;0;0
23776;1961;11;21;32;10;0;0;0
23776;1961;11;22;32;10;0;0;0
23776;1961;11;23;33;10;0;0;0
23776;1961;11;24;34;10;0;0;0
23776;1961;11;25;42;10;0;0;0
23776;1961;11;26;46;10;0;0;0
23776;1961;11;27;45;10;0;0;0
23776;1961;11;28;45;10;0;0;0
23776;1961;11;29;44;10;0;0;0
23776;1961;11;30;42;10;0;0;0
23776;1961;12;1;43;10;0;0;0
23776;1961;12;2;43;10;0;0;0
23776;1961;12;3;41;10;0;0;0
23776;1961;12;4;43;10;0;0;0
23776;1961;12;5;43;10;0;0;0
23776;1961;12;6;44;10;0;0;0
23776;1961;12;7;44;10;0;0;0
23776;1961;12;8;53;10;0;0;0
23776;1961;12;9;53;10;0;0;0
23776;1961;12;10;53;10;0;0;0
23776;1961;12;11;50;10;0;0;0
23776;1961;12;12;48;10;0;0;0
23776;1961;12;13;52;10;0;0;0
23776;1961;12;14;52;10;0;0;0
23776;1961;12;15;52;10;0;0;0
23776;1961;12;16;52;10;0;0;0
23776;1961;12;17;52;10;0;0;0
23776;1961;12;18;53;10;0;0;0
23776;1961;12;19;53;10;0;0;0
23776;1961;12;20;53;10;0;0;0
23776;1961;12;21;54;10;0;0;0
23776;1961;12;22;54;10;0;0;0
23776;1961;12;23;56;10;0;0;0
23776;1961;12;24;56;10;0;0;0
23776;1961;12;25;53;10;0;0;0
23776;1961;12;26;53;10;0;0;0
23776;1961;12;27;54;10;0;0;0
23776;1961;12;28;55;10;0;0;0
23776;1961;12;29;55;10;0;0;0
23776;1961;12;30;55;10;0;0;0
23776;1961;12;31;57;10;0;0;0
23776;1962;1;1;57;10;0;0;0
23776;1962;1;2;57;10;0;0;0
23776;1962;1;3;54;10;0;0;0
23776;1962;1;4;66;10;0;0;0
23776;1962;1;5;69;10;0;0;0
23776;1962;1;6;69;10;0;0;0
23776;1962;1;7;69;10;0;0;0
23776;1962;1;8;73;10;0;0;0
23776;1962;1;9;72;10;0;0;0
23776;1962;1;10;72;10;0;0;0
23776;1962;1;11;72;10;0;0;0
23776;1962;1;12;69;10;0;0;0
23776;1962;1;13;72;10;0;0;0
23776;1962;1;14;73;10;0;0;0
23776;1962;1;15;88;10;0;0;0
23776;1962;1;16;86;10;0;0;0
23776;1962;1;17;86;10;0;0;0
23776;1962;1;18;86;10;0;0;0
23776;1962;1;19;86;10;0;0;0
23776;1962;1;20;86;10;0;0;0
23776;1962;1;21;80;10;0;0;0
23776;1962;1;22;80;10;0;0;0
23776;1962;1;23;82;10;0;0;0
23776;1962;1;24;80;10;0;0;0
23776;1962;1;25;80;10;0;0;0
23776;1962;1;26;80;10;0;0;0
23776;1962;1;27;79;10;0;0;0
23776;1962;1;28;79;10;0;0;0
23776;1962;1;29;79;10;0;0;0
23776;1962;1;30;79;10;0;0;0
23776;1962;1;31;80;10;0;0;0
23776;1962;2;1;82;10;0;0;0
23776;1962;2;2;82;10;0;0;0
23776;1962;2;3;83;10;0;0;0
23776;1962;2;4;86;10;0;0;0
23776;1962;2;5;90;10;0;0;0
23776;1962;2;6;90;10;0;0;0
23776;1962;2;7;90;10;0;0;0
23776;1962;2;8;90;10;0;0;0
23776;1962;2;9;90;10;0;0;0
23776;1962;2;10;90;10;0;0;0
23776;1962;2;11;86;10;0;0;0
23776;1962;2;12;88;10;0;0;0
23776;1962;2;13;88;10;0;0;0
23776;1962;2;14;88;10;0;0;0
23776;1962;2;15;90;10;0;0;0
23776;1962;2;16;92;10;0;0;0
23776;1962;2;17;94;10;0;0;0
23776;1962;2;18;94;10;0;0;0
23776;1962;2;19;90;10;0;0;0
23776;1962;2;20;89;10;0;0;0
23776;1962;2;21;89;10;0;0;0
23776;1962;2;22;89;10;0;0;0
23776;1962;2;23;89;10;0;0;0
23776;1962;2;24;91;10;0;0;0
23776;1962;2;25;93;10;0;0;0
23776;1962;2;26;93;10;0;0;0
23776;1962;2;27;95;10;0;0;0
23776;1962;2;28;95;10;0;0;0
23776;1962;3;1;94;10;0;0;0
23776;1962;3;2;94;10;0;0;0
23776;1962;3;3;92;10;0;0;0
23776;1962;3;4;92;10;0;0;0
23776;1962;3;5;92;10;0;0;0
23776;1962;3;6;91;10;0;0;0
23776;1962;3;7;91;10;0;0;0
23776;1962;3;8;91;10;0;0;0
23776;1962;3;9;92;10;0;0;0
23776;1962;3;10;93;10;0;0;0
23776;1962;3;11;93;10;0;0;0
23776;1962;3;12;93;10;0;0;0
23776;1962;3;13;93;10;0;0;0
23776;1962;3;14;93;10;0;0;0
23776;1962;3;15;92;10;0;0;0
23776;1962;3;16;93;10;0;0;0
23776;1962;3;17;91;10;0;0;0
23776;1962;3;18;91;10;0;0;0
23776;1962;3;19;90;10;0;0;0
23776;1962;3;20;90;10;0;0;0
23776;1962;3;21;89;10;0;0;0
23776;1962;3;22;89;10;0;0;0
23776;1962;3;23;88;10;0;0;0
23776;1962;3;24;87;10;0;0;0
23776;1962;3;25;86;10;0;0;0
23776;1962;3;26;86;10;0;0;0
23776;1962;3;27;85;10;0;0;0
23776;1962;3;28;85;10;0;0;0
23776;1962;3;29;85;10;0;0;0
23776;1962;3;30;85;10;0;0;0
23776;1962;3;31;84;10;0;0;0
23776;1962;4;1;84;10;0;0;0
23776;1962;4;2;84;10;0;0;0
23776;1962;4;3;90;10;0;0;0
23776;1962;4;4;90;10;0;0;0
23776;1962;4;5;90;10;0;0;0
23776;1962;4;6;88;10;0;0;0
23776;1962;4;7;84;10;0;0;0
23776;1962;4;8;76;10;0;0;0
23776;1962;4;9;75;10;0;0;0
23776;1962;4;10;71;10;0;0;0
23776;1962;4;11;68;10;0;0;0
23776;1962;4;12;66;10;0;0;0
23776;1962;4;13;64;10;0;0;0
23776;1962;4;14;64;10;0;0;0
23776;1962;4;15;64;10;0;0;0
23776;1962;4;16;65;10;0;0;0
23776;1962;4;17;65;10;0;0;0
23776;1962;4;18;65;10;0;0;0
23776;1962;4;19;65;10;0;0;0
23776;1962;4;20;63;10;0;0;0
23776;1962;4;21;62;10;0;0;0
23776;1962;4;22;59;10;0;0;0
23776;1962;4;23;59;10;0;0;0
23776;1962;4;24;73;10;0;0;0
23776;1962;4;25;72;10;0;0;0
23776;1962;4;26;78;10;0;0;0
23776;1962;4;27;78;10;0;0;0
23776;1962;4;28;75;10;0;0;0
23776;1962;4;29;70;10;0;0;0
23776;1962;4;30;65;10;0;0;0
23776;1962;5;1;65;10;0;0;0
23776;1962;5;2;62;10;0;0;0
23776;1962;5;3;55;10;0;0;1
23776;1962;5;4;50;10;0;0;0
23776;1962;5;5;44;10;0;0;0
23776;1962;5;6;33;10;0;0;1
23776;1962;5;7;25;10;0;0;1
23776;1962;5;8;22;10;0;0;1
23776;1962;5;9;18;10;0;0;0
23776;1962;5;10;13;10;0;0;1
23776;1962;5;11;11;10;0;0;1
23776;1962;5;12;8;10;0;0;0
23776;1962;5;13;5;10;0;0;0
23776;1962;5;14;3;10;0;0;1
23776;1962;5;15;0;99;3;0;0
23776;1962;5;16;0;99;3;0;0
23776;1962;5;17;0;0;1;0;0
23776;1962;5;18;0;0;1;0;0
23776;1962;5;19;0;0;1;0;0
23776;1962;5;20;0;0;1;0;0
23776;1962;5;21;0;0;1;0;0
23776;1962;5;22;0;0;1;0;0
23776;1962;5;23;0;0;1;0;0
23776;1962;5;24;0;0;1;0;0
23776;1962;5;25;0;0;1;0;0
23776;1962;5;26;0;0;1;0;0
23776;1962;5;27;0;0;1;0;0
23776;1962;5;28;0;0;1;0;0
23776;1962;5;29;0;0;1;0;0
23776;1962;5;30;0;0;1;0;0
23776;1962;5;31;0;0;1;0;0
23776;1962;6;1;0;0;1;0;0
23776;1962;6;2;0;0;1;0;0
23776;1962;6;3;0;0;1;0;0
23776;1962;6;4;0;0;1;0;0
23776;1962;6;5;0;0;1;0;0
23776;1962;6;6;0;0;1;0;0
23776;1962;6;7;0;0;1;0;0
23776;1962;6;8;0;0;1;0;0
23776;1962;6;9;0;0;1;0;0
23776;1962;6;10;0;0;1;0;0
23776;1962;6;11;0;0;1;0;0
23776;1962;6;12;0;0;1;0;0
23776;1962;6;13;0;0;1;0;0
23776;1962;6;14;0;0;1;0;0
23776;1962;6;15;0;0;1;0;0
23776;1962;6;16;0;0;1;0;0
23776;1962;6;17;0;0;1;0;0
23776;1962;6;18;0;0;1;0;0
23776;1962;6;19;0;0;1;0;0
23776;1962;6;20;0;0;1;0;0
23776;1962;6;21;0;0;1;0;0
23776;1962;6;22;0;0;1;0;0
23776;1962;6;23;0;0;1;0;0
23776;1962;6;24;0;0;1;0;0
23776;1962;6;25;0;0;1;0;0
23776;1962;6;26;0;0;1;0;0
23776;1962;6;27;0;0;1;0;0
23776;1962;6;28;0;0;1;0;0
23776;1962;6;29;0;0;1;0;0
23776;1962;6;30;0;0;1;0;0
23776;1962;7;1;0;0;1;0;0
23776;1962;7;2;0;0;1;0;0
23776;1962;7;3;0;0;1;0;0
23776;1962;7;4;0;0;1;0;0
23776;1962;7;5;0;0;1;0;0
23776;1962;7;6;0;0;1;0;0
23776;1962;7;7;0;0;1;0;0
23776;1962;7;8;0;0;1;0;0
23776;1962;7;9;0;0;1;0;0
23776;1962;7;10;0;0;1;0;0
23776;1962;7;11;0;0;1;0;0
23776;1962;7;12;0;0;1;0;0
23776;1962;7;13;0;0;1;0;0
23776;1962;7;14;0;0;1;0;0
23776;1962;7;15;0;0;1;0;0
23776;1962;7;16;0;0;1;0;0
